Stat_ID,MONLOC_AB,DataLoggerLineName,Stat_DATE,ActivityIdentifier,ActivityMediaName,CharacteristicName,StatMEASURE,ResultMeasureUnitCode,DataType,UseForCalc,StatisticalBaseCode,TimeBasisName,NumResults,COMMENTS,CreatedDateTime,LastChangeDate,ActivityInTWQD
AF4170B8-ED03-4AE5-A00E-9F6FBDDF8959,HOHTH2,10598990,6/19/2021,HOHTH2_20210619_2021Sum_TS,Water,"Temperature, water",14.697,deg C,Calculated,1,Daily Maximum,1 Day,96,NULL,32:58.3,24:59.6,42:31.2
AF41C69C-D370-4A7D-B64A-78DDD5CEBF22,ELKTH1,21119020,9/16/2022,ELKTH1_20220916_2022Sum_TS,Water,"Temperature, water",11.0472,deg C,Calculated,1,Mean,1 Day,96,NULL,08:54.5,24:59.6,NULL
AF41EAF0-6D14-4EAE-A0F9-5BCCB74FDF98,HOHTH2,10598990,6/14/2021,HOHTH2_20210614_2021Sum_TS,Water,"Temperature, water",10.9079,deg C,Calculated,1,Mean,1 Day,96,NULL,32:51.8,24:59.6,42:31.2
AF42CF8F-7200-4EE4-B6A7-06B9C644A2BE,CEDARTH2,10699459,7/2/2021,CEDARTH2_20210702_2021Sum_TS,Water,"Temperature, water",15.342,deg C,Calculated,1,Daily Maximum,1 Day,96,NULL,32:58.3,24:59.6,42:31.2
AF44E819-98A2-48CD-80DE-3E57AD27E5AE,TOWERTH1,20386549,9/17/2022,TOWERTH1_20220917_2022Sum_TS,Water,"Temperature, water",14.1663,deg C,Calculated,1,7DADM,7 Day,7,NULL,24:57.9,24:57.9,NULL
AF45A75A-E98D-44D6-BBCA-3475E46EC38D,WILLOBTH1,21119077,2/17/2022,WILLOBTH1_20220217_2021Fall_TS,Water,"Temperature, water",6.62835,deg C,Calculated,1,Mean,1 Day,96,NULL,08:54.5,24:59.6,NULL
AF460D38-A47D-4B9B-8495-7AE91196638F,COTTOTH1,10699494,6/29/2022,COTTOTH1_20220629_2022Sum_TS,Water,"Temperature, water",12.0111,deg C,Calculated,1,7DADM,7 Day,7,NULL,24:57.9,24:57.9,NULL
AF461D1A-BB8B-44B2-A439-CDBC596E74BB,OWLTH1,20651380,12/27/2021,OWLTH1_20211227_2021Fall_TS,Water,"Temperature, water",2.75358,deg C,Calculated,1,Daily Minimum,1 Day,96,NULL,09:13.7,24:59.6,NULL
AF467309-CC33-4529-A0A9-2988033F2426,LOSTTH1,21119070,8/28/2022,LOSTTH1_20220828_2022Sum_TS,Water,"Temperature, water",14.7979,deg C,Calculated,1,Daily Maximum,1 Day,96,NULL,09:04.6,24:59.6,NULL
AF4693C4-5799-4758-A237-6B068D793BC1,COTTOTH1,10699494,9/3/2022,COTTOTH1_20220903_2022Sum_TS,Water,"Temperature, water",13.016,deg C,Calculated,1,Daily Maximum,1 Day,96,NULL,09:04.6,24:59.6,NULL
AF47D8B4-FBE5-4A4E-BCAB-EABA274F7E18,MOSQUITTH1,21119085,8/27/2021,MOSQUITTH1_20210827_2021Sum_TS,Water,"Temperature, water",14.6477,deg C,Calculated,1,Daily Maximum,1 Day,96,NULL,32:58.3,24:59.6,42:31.2
AF4921E4-74D0-4374-8993-89C2733620AA,WPOLETH1,21337441,7/13/2022,WPOLETH1_20220713_2022Sum_TS,Water,"Temperature, water",11.8194,deg C,Calculated,1,Mean,1 Day,96,NULL,08:54.5,24:59.6,NULL
AF49E5AC-588F-4076-9C44-509DAE5E63D5,NFWINFDTH1,21119037,10/3/2022,NFWINFDTH1_20221003_2022Sum_TS,Water,"Temperature, water",12.0522,deg C,Calculated,1,Daily Minimum,1 Day,96,NULL,09:13.7,24:59.6,NULL
AF4A7287-E3BB-400D-B7C5-4CE7D67C076C,HELLRTH1,21119055,6/20/2022,HELLRTH1_20220620_2022Sum_TS,Water,"Temperature, water",11.6738,deg C,Calculated,1,7DADM,7 Day,7,NULL,24:57.9,24:57.9,NULL
AF4C9C7F-0973-4270-881E-9E68F052A35F,MCQUARYTH1,10699488,9/25/2022,MCQUARYTH1_20220925_2022Sum_TS,Water,"Temperature, water",12.8953,deg C,Calculated,1,Mean,1 Day,96,NULL,08:54.5,24:59.6,NULL
AF4CAD4F-BD24-437A-A244-7D313D03AFA2,JACKTH1,21119079,6/23/2022,JACKTH1_20220623_2021Fall_TS,Water,"Temperature, water",9.21333,deg C,Calculated,1,Mean,1 Day,96,NULL,08:54.5,24:59.6,NULL
AF4D1EFC-E84B-42BB-9FF9-9AB9FADC87DE,HOHTH3,21119078,6/25/2021,HOHTH3_20210625_2021Sum_TS,Water,"Temperature, water",14.4332,deg C,Calculated,1,Daily Maximum,1 Day,96,NULL,32:58.3,24:59.6,42:31.2
AF4D3FC7-2300-45A4-BC47-D51F1F7A090F,EFIRONMTH1,20651379,6/30/2022,EFIRONMTH1_20220630_2022Sum_TS,Water,"Temperature, water",10.6151,deg C,Calculated,1,Daily Maximum,1 Day,96,NULL,09:04.6,24:59.6,NULL
AF4DD046-2470-4585-B996-9437957F8ED3,TOWERTH1,20386549,6/22/2021,TOWERTH1_20210622_2021Sum_TS,Water,"Temperature, water",13.7746,deg C,Calculated,1,7DADM,7 Day,7,NULL,33:14.0,21:52.7,42:31.2
AF4DEABF-FBF0-4DB2-B50D-C4A4B9D7E1EC,FLETCHTH2,10699462,7/27/2022,FLETCHTH2_20220727_2022Sum_TS,Water,"Temperature, water",12.8447,deg C,Calculated,1,Mean,1 Day,96,NULL,08:54.5,24:59.6,NULL
AF4EADBC-B4D3-43B5-BCB1-293BAC295866,WILLOBTH1,21119023,9/19/2022,WILLOBTH1_20220919_2022Sum_TS,Water,"Temperature, water",13.5001,deg C,Calculated,1,Daily Maximum,1 Day,96,NULL,09:04.6,24:59.6,NULL
AF4FBA50-491F-4B72-9933-F8B27CEC5354,NOLANTH3,21119053,11/18/2021,NOLANTH3_20211118_2021Fall_TS,Water,"Temperature, water",7.77292,deg C,Calculated,1,Daily Maximum,1 Day,96,NULL,09:04.6,24:59.6,NULL
AF515AB8-5EB6-4EC2-A174-55118F9EA90E,OWLTH1,21119065,6/8/2022,OWLTH1_20220608_2022Sum_TS,Water,"Temperature, water",10.0896,deg C,Calculated,1,7DADM,7 Day,7,NULL,24:57.9,24:57.9,NULL
AF51B755-5DCC-4403-A3E5-E3632F5A9876,CANYOTH1,10699480,7/15/2021,CANYOTH1_20210715_2021Sum_TS,Water,"Temperature, water",12.147,deg C,Calculated,1,Daily Minimum,1 Day,96,NULL,33:06.0,24:59.6,42:31.2
AF525DB8-A4BF-4275-B627-5D2AD6D716F8,JACKTH1,21119079,12/24/2021,JACKTH1_20211224_2021Fall_TS,Water,"Temperature, water",4.46959,deg C,Calculated,1,7DADM,7 Day,7,NULL,24:57.9,24:57.9,NULL
AF535E3C-1DFB-46D7-9521-B550AA418E25,HELLRTH1,21119055,7/9/2022,HELLRTH1_20220709_2022Sum_TS,Water,"Temperature, water",12.4491,deg C,Calculated,1,Daily Minimum,1 Day,96,NULL,09:13.7,24:59.6,NULL
AF536D74-4541-4C8B-B3EB-AFE24D41EEC5,WFKALTH1,21119058,12/12/2021,WFKALTH1_20211212_2021Fall_TS,Water,"Temperature, water",7.05434,deg C,Calculated,1,7DADM,7 Day,7,NULL,24:57.9,24:57.9,NULL
